name,timestamp,version
Remove Collection Foreign Keys,2026-04-02 13:52:04.510105+00,20201028A
Remove System Relations,2026-04-02 13:52:04.513658+00,20201029A
Remove System Collections,2026-04-02 13:52:04.516513+00,20201029B
Remove System Fields,2026-04-02 13:52:04.521542+00,20201029C
Add Cascade System Relations,2026-04-02 13:52:04.562473+00,20201105A
Change Webhook URL Type,2026-04-02 13:52:04.567471+00,20201105B
Add Relations Sort Field,2026-04-02 13:52:04.571405+00,20210225A
Remove Locked Fields,2026-04-02 13:52:04.573824+00,20210304A
Webhooks Collections Text,2026-04-02 13:52:04.579351+00,20210312A
Add Refresh Interval,2026-04-02 13:52:04.581796+00,20210331A
Make Filesize Nullable,2026-04-02 13:52:04.587881+00,20210415A
Add Collections Accountability,2026-04-02 13:52:04.591127+00,20210416A
Remove Files Interface,2026-04-02 13:52:04.593852+00,20210422A
Rename Interfaces,2026-04-02 13:52:04.614771+00,20210506A
Restructure Relations,2026-04-02 13:52:04.634074+00,20210510A
Add Foreign Key Constraints,2026-04-02 13:52:04.639966+00,20210518A
Add System Fk Triggers,2026-04-02 13:52:04.66415+00,20210519A
Add Collections Icon Color,2026-04-02 13:52:04.66647+00,20210521A
Add Insights,2026-04-02 13:52:04.684186+00,20210525A
Add Deep Clone Config,2026-04-02 13:52:04.686577+00,20210608A
Change Filesize Bigint,2026-04-02 13:52:04.697477+00,20210626A
Add Conditions to Fields,2026-04-02 13:52:04.700215+00,20210716A
Add Default Folder,2026-04-02 13:52:04.704733+00,20210721A
Replace Groups,2026-04-02 13:52:04.708373+00,20210802A
Add Required to Fields,2026-04-02 13:52:04.710744+00,20210803A
Update Groups,2026-04-02 13:52:04.713549+00,20210805A
Change Image Metadata Structure,2026-04-02 13:52:04.716482+00,20210805B
Add Geometry Config,2026-04-02 13:52:04.718856+00,20210811A
Remove Limit Column,2026-04-02 13:52:04.721028+00,20210831A
Add Auth Provider,2026-04-02 13:52:04.735294+00,20210903A
Webhooks Collections Not Null,2026-04-02 13:52:04.740631+00,20210907A
Move Module Setup,2026-04-02 13:52:04.743937+00,20210910A
Webhooks URL Not Null,2026-04-02 13:52:04.749339+00,20210920A
Add Collection Organization,2026-04-02 13:52:04.754182+00,20210924A
Replace Fields Group,2026-04-02 13:52:04.761767+00,20210927A
Replace M2M Interface,2026-04-02 13:52:04.763624+00,20210927B
Rename Login Action,2026-04-02 13:52:04.765354+00,20210929A
Update Presets,2026-04-02 13:52:04.770796+00,20211007A
Add Auth Data,2026-04-02 13:52:04.773988+00,20211009A
Add Webhook Headers,2026-04-02 13:52:04.77633+00,20211016A
Set Unique to User Token,2026-04-02 13:52:04.780677+00,20211103A
Update Special Geometry,2026-04-02 13:52:04.782658+00,20211103B
Remove Collections Listing,2026-04-02 13:52:04.785067+00,20211104A
Add Notifications,2026-04-02 13:52:04.796776+00,20211118A
Add Shares,2026-04-02 13:52:04.812117+00,20211211A
Add Project Descriptor,2026-04-02 13:52:04.814603+00,20211230A
Remove Default Project Color,2026-04-02 13:52:04.820923+00,20220303A
Add Bookmark Icon and Color,2026-04-02 13:52:04.823549+00,20220308A
Add Translation Strings,2026-04-02 13:52:04.825622+00,20220314A
Rename Field Typecast Flags,2026-04-02 13:52:04.828441+00,20220322A
Add Field Validation,2026-04-02 13:52:04.830761+00,20220323A
Fix Typecast Flags,2026-04-02 13:52:04.833646+00,20220325A
Add Default Language,2026-04-02 13:52:04.841433+00,20220325B
Remove Default Value Panel Icon,2026-04-02 13:52:04.853266+00,20220402A
Add Flows,2026-04-02 13:52:04.884061+00,20220429A
Add Color to Insights Icon,2026-04-02 13:52:04.887038+00,20220429B
Drop Non Null From IP of Activity,2026-04-02 13:52:04.889422+00,20220429C
Drop Non Null From Sender of Notifications,2026-04-02 13:52:04.89248+00,20220429D
Rename Hook Trigger to Event,2026-04-02 13:52:04.894493+00,20220614A
Update Notifications Timestamp Column,2026-04-02 13:52:04.90042+00,20220801A
Add Custom Aspect Ratios,2026-04-02 13:52:04.903592+00,20220802A
Add Origin to Accountability,2026-04-02 13:52:04.907853+00,20220826A
Update Material Icons,2026-04-02 13:52:04.913989+00,20230401A
Add Session Fallback Token,2026-04-02 13:52:04.916427+00,20250814A
Add Session Tracking,2026-04-02 13:52:04.920004+00,20250910A
